buyer_name,market_based_value,static_pe,net_profit_t_1,net_profit_t_2,net_profit_t_3,sale_at,year,pricing_method,ps,target_business,buyer_stock_code,dynamic_pe,support_fund_use,bargain_value,profit_based_value,pb,capital_based_value,target_name,target_income,net_profit_t,target_net_asset,net_profit,target_estimate_value,memo,value_at,growth_ratio,support_fund,bargain_type,consultant,target_industry,payment_type,buyer_industry
金隅股份,,,,,,2011-01-21 00:00:00,2011.0,,,水泥制造,601992.SH,,,,,,,太行水泥,,,,,0.0,,2010-06-04 00:00:00,,,集团整体上市,中金,金属、非金属,股份+现金,建筑材料
渤海租赁,,64.2655138385,,,,2011-01-21 00:00:00,2011.0,资产基础法,,融资租赁,000415.SZ,,,,653825.77,,651050.4,渤海租赁100%股权,,,651050.32,10173.82,653825.77,,2010-02-28 00:00:00,0.00426303453779,,借壳上市,广发证券,社会服务业,,非银金融
张家界,72700,,,,,2011-01-27 00:00:00,2011.0,,,客运,000430.SZ,,,,64108.63,,,环保客运100%股权,,,15765.59,,64108.63,,2010-06-30 00:00:00,3.06636415129,,集团整体上市,招商证券,社会服务业,,休闲服务
中航电子,,,,,,2011-02-23 00:00:00,2011.0,资产基础法,,航空电子,600372.SH,,,,25133,,24989,华燕仪表,,,201221,,270860.0,,2010-04-30 00:00:00,0.346082168362,,集团整体上市,中金,电子,,国防军工
华菱星马,,,19931.29,22202.54,23787.07,2011-02-28 00:00:00,2011.0,收益法,,汽车制造,600375.SH,8.95758127045,,,178536.15,,108460.43,安徽华菱汽车100%股权,,,91992.61,,178536.15,,2009-12-31 00:00:00,0.940766220243,,集团整体上市,平安证劵,机械、设备、仪表,,机械设备
江南化工,68207.6,88.84588173799999,24156,27321,32466,2011-03-28 00:00:00,2011.0,收益法,,工业炸药,002226.SZ,9.0769846001,,,84011.79,,,新疆天河化工84.265%等7项资产,,23664.88,39246.86,2467.91,219263.64,,2009-10-31 00:00:00,4.586781719609999,,产业并购,西南证券,石油、化学、塑胶、塑料,,化工
首商股份,,13.837177866300001,28492.97,23337.78,24260.26,2011-04-01 00:00:00,2011.0,收益法,,商业零售,600723.SH,8.65827605897,,,246700,,108747.04,新燕莎控股100%股权,,19919.13,58420.04,17828.78,246700.0,,2010-09-30 00:00:00,3.22286598914,,集团整体上市,中信建投,批发和零售贸易,,商业贸易
象屿股份,,,,,,2011-04-26 00:00:00,2011.0,资产基础法,,物流园区经营,600057.SH,,,,166800,,167740.56,象屿股份100%的股权,,,104362.62,,167740.56,,2010-06-30 00:00:00,0.6072858270520001,,借壳上市,德邦证券,社会服务业,,交通运输
通宝能源,,22.9356450388,,,,2011-05-04 00:00:00,2011.0,资产基础法,,配电,600780.SH,,,,161359.81,,154015.15,地电股份总股本的 100%,,,129543.27,6715.1,154015.15,,2010-06-30 00:00:00,0.188908925952,,集团整体上市,西南证券,电力、煤气及水的生产和供应业,,公用事业
山东高速,,19.6717085734,69931.91,65511.32,52523.69,2011-05-06 00:00:00,2011.0,收益法,,高速公路运营,600350.SH,10.741632539400001,,,717067.52,,503387.2,高速运管100%股权,,60031.98,438761.96,38185.95,751182.88,,2010-06-30 00:00:00,0.71205106295,,集团整体上市,中信证劵,交通运输、仓储业,,交通运输
