actual_controller,stock_code,owner_type,company_name,bargain_freq,ipo_at,start_at,industry,main_product,main_product_type,region,cash_reserve_2,cash_reserve_3,cash_reserve_1,growth_ratio_1,growth_ratio_2,growth_ratio_3,ssh_prop,net_profit,roe,concept_sector,row_index,pe,market_value,pb
李炜,300388.SZ,民营企业,国祯环保,,2014-08-01 00:00:00,19970225.0,水利、环境和公共设施管理业-生态保护和环境治理业,,,安徽省,64427965.01,76108444.47,79630254.8,31.2964,34.0909,64.9423,44.12,9.2592,12.3,污水处理;小盘绩优;超涨,1.0,79.1974,4571899406.44,8.8746
郭锡禄,300391.SZ,民营企业,康跃科技,,2014-08-01 00:00:00,20011224.0,制造业-通用设备制造业,,,山东省,45011478.02,31928468.25,94587405.35,31.3263,43.6505,41.5447,63.0,13.6886,18.83,小盘绩优;超涨,2.0,83.0168,2902145100.0,14.306
,603111.SH,公众企业,康尼机电,,2014-08-01 00:00:00,20001027.0,制造业-铁路、船舶、航空航天和其他运输设备制造业,,,江苏省,152807177.07,153583225.56,231551066.66,-25.2444,30.6825,-43.2705,11.78,11.1959,28.04,高铁;超涨;预增,3.0,58.4046,6832799545.0,17.5645
容建芬;裴振华,300390.SZ,民营企业,天华超净,,2014-07-31 00:00:00,19971113.0,制造业-计算机、通信和其他电子设备制造业,,,江苏省,38861269.66,43771667.46,43950336.06,-47.6352,56.483,-53.7034,39.84,10.6513,20.14,小盘绩优;超涨,4.0,99.4846,3665060000.0,18.4489
李永胜;李铭浚;李永强,603328.SH,外资企业,依顿电子,,2014-07-01 00:00:00,20000302.0,制造业-计算机、通信和其他电子设备制造业,,,广东省,711885001.7,458646346.74,1075228286.51,49.8858,18.8072,10.7127,79.96,12.4022,14.85,,5.0,41.0477,13203000000.0,5.4962
邓江波;任永红;丁彦辉,300389.SZ,民营企业,艾比森,,2014-08-01 00:00:00,20010823.0,制造业-计算机、通信和其他电子设备制造业,,,广东省,207603880.28,109389799.93,179347442.82,-31.4446,89.1048,15.3864,25.65,15.6638,38.99,绿色节能照明;小盘绩优;超涨;预增,6.0,57.4573,6567963900.0,19.0606
靳坤,603009.SH,民营企业,北特科技,,2014-07-18 00:00:00,20020621.0,制造业-汽车制造业,,,上海,32151024.54,12951196.38,51218967.02,-8.1551,6.7831,33.9574,52.82,7.8032,17.85,小盘绩优;超涨,7.0,68.6428,2806487700.0,10.7693
山东省地质矿产勘查开发局,000409.SZ,地方国有企业,山东地矿,,1996-06-27 00:00:00,19930428.0,采矿业-黑色金属矿采选业,,,山东省,192005091.39,754743.89,208640033.68,3.2409,-1.0003,26.3767,23.92,31.1267,12.68,预增;预减,8.0,41.0533,5204529888.45,4.8138
刘迪,300384.SZ,民营企业,三联虹普,,2014-08-01 00:00:00,19991012.0,科学研究和技术服务业-专业技术服务业,,,北京,198594062.67,149265355.92,189086946.28,-12.9134,2.2329,21.1965,45.32,23.1434,38.02,小盘绩优;超涨,9.0,55.3086,4425619800.0,15.9648
徐涛明;吉蔚娣,603006.SH,民营企业,联明股份,,2014-06-30 00:00:00,20030130.0,制造业-汽车制造业,,,上海,65191721.43,39709141.53,55930615.82,-13.0055,30.1415,41.8244,52.5,14.8885,19.99,小盘绩优;超涨,10.0,50.3902,3038400000.0,8.7176
"宫明杰,宫学斌",002726.SZ,民营企业,龙大肉食,,2014-06-26 00:00:00,20030709.0,制造业-农副食品加工业,,,山东省,139016705.59,123588393.75,83045122.38,10.5719,-15.4324,6.8026,46.83,3.6834,13.7,超涨,11.0,44.8884,5218118400.0,5.7856
重庆市国有资产监督管理委员会,603100.SH,地方国有企业,川仪股份,,2014-08-05 00:00:00,19991101.0,制造业-仪器仪表制造业,,,重庆,526735606.85,617696327.65,264030617.8,33.8565,5.3701,-45.6148,34.53,4.6296,12.84,超涨,12.0,46.5608,6584650000.0,6.489
阮鸿献;刘琼,002727.SZ,民营企业,一心堂,,2014-07-02 00:00:00,20001108.0,批发和零售业-零售业,,,云南省,386051167.4,386533992.15,520425407.54,9.1007,13.0737,-5.2236,33.75,6.7489,25.99,民营银行;超涨,13.0,49.5952,11945167000.0,10.615
陈德康,603168.SH,民营企业,莎普爱思,,2014-07-02 00:00:00,20000717.0,制造业-医药制造业,,,浙江省,91757319.4,33461182.06,105680207.75,-7.4157,-8.789,7.3626,38.42,16.5699,33.62,小盘绩优;超涨,14.0,58.7747,6117413500.0,17.0913
许为高;许恒青;许丽芳;许松青;许丹青,002728.SZ,民营企业,台城制药,,2014-07-31 00:00:00,20020523.0,制造业-医药制造业,,,广东省,150104761.39,90770182.37,162803280.22,143.3291,12.6409,5.3403,31.05,23.5045,25.67,小盘绩优;超涨,15.0,52.1261,4199000000.0,11.7742
江苏省涟水县人民政府,603369.SH,地方国有企业,今世缘,,2014-07-03 00:00:00,19971223.0,制造业-酒、饮料和精制茶制造业,,,江苏省,984013021.07,533463716.38,1142898696.7,41.0336,-2.3379,38.483,44.72,27.0376,34.08,,16.0,20.925,14256138000.0,6.0559
金卫东,603609.SH,民营企业,禾丰牧业,,2014-08-08 00:00:00,20030327.0,制造业-农副食品加工业,,,辽宁省,439635881.97,488470269.5,523389160.71,-13.4095,-17.3431,17.4627,16.58,2.1677,10.64,超涨,17.0,49.7558,8666399983.44,5.0406
方胜玲;王仁宗,300387.SZ,民营企业,富邦股份,,2014-07-02 00:00:00,20070122.0,制造业-化学原料和化学制品制造业,,,湖北省,42782977.57,57900853.32,34520022.41,-8.2928,-11.9743,-10.3081,32.86,19.8611,22.98,小盘绩优;超涨,18.0,57.5734,3458133000.0,11.379
许惠芬;杨建平,300385.SZ,民营企业,雪浪环境,,2014-06-26 00:00:00,20010212.0,制造业-专用设备制造业,,,江苏省,52005320.44,77890700.23,67592274.81,-0.1722,4.4323,-1.8548,39.24,13.523,17.67,PM2.5;小盘绩优;超涨,19.0,74.947,4208000000.0,11.8841
黄煜,300386.SZ,民营企业,飞天诚信,,2014-06-26 00:00:00,19980616.0,信息传输、软件和信息技术服务业-软件和信息技术服务业,,,北京,201306889.19,80174437.04,338894664.24,21.8224,9.7233,-12.9909,33.11,23.7846,49.5,移动支付;网络安全;小盘绩优;超涨;预增,20.0,64.607,12997368000.0,23.9807
浙江日报报业集团,600633.SH,地方国有企业,浙报传媒,,1993-03-04 00:00:00,19920701.0,文化、体育和娱乐业-新闻和出版业,,,浙江省,406679610.29,560342921.21,1542307342.06,28.743,67.4022,9.6423,49.76,20.9293,15.44,网络游戏;文化传媒概念(Wind);网络彩票;融资融券标的;券商重仓;大盘蓝筹;超涨;预增;高送转,21.0,50.2555,20688086941.9,5.6529
中国中材集团有限公司,603126.SH,中央国有企业,中材节能,,2014-07-31 00:00:00,19980601.0,科学研究和技术服务业-专业技术服务业,,,天津,168041748.76,301847863.78,170795567.34,15.9866,4.0569,4.383,60.64,8.5757,9.36,合同能源管理;超涨,22.0,70.2443,6389900000.0,6.1025
李学凌;柴继军;吴玉瑞;梁世平;袁闯;高玮;姜海林;廖道训;吴春红;陈智华,000681.SZ,民营企业,视觉中国,,1997-01-21 00:00:00,19931025.0,制造业-纺织服装、服饰业,,,江苏省,40623323.11,103284152.52,37809729.33,2.6301,18.0723,43.8185,14.61,12.4224,3.03,文化传媒概念(Wind);预增,23.0,3651.4267,16280677684.8,111.147
赵鸿富;赵叶青,300233.SZ,民营企业,金城医药,,2011-06-22 00:00:00,20080228.0,制造业-医药制造业,  氨基噻唑乙酸 、  头孢尼西侧链双钠盐(SMT-DS) 、 AE-活性酯 、 氨噻肟酸 、 呋喃铵盐（SMIA） 、 去甲氨噻肟酸乙酯 、 去甲胺噻肟酸乙酯 、 三嗪环 、 头孢地尼活性酯（BAEM） 、 头孢硫脒 、 头孢匹胺7位侧链酸（APG） 、 头孢他啶侧链酸 、 头孢他啶侧链酸活性酯（TAEM） ,高分子聚合物,山东省,441351484.8,458050557.04,351702409.09,-3.7237,-10.8329,15.422,37.67,7.1086,6.47,超涨;预增,24.0,87.11,5627021400.0,5.4003
