capital,company_name,garden,income_growth,is_sold,market_value,net_asset,net_capital,net_profit,net_profit_growth,net_profit_t,net_profit_t_1,net_profit_t_2,net_profit_t_3,status,stock_code,stock_share,target_income,target_industry,total_debt
,太行水泥,,,1,,,,,,,,,,,,,,金属、非金属,
,渤海租赁100%股权,,,1,,651050.32,,10173.82,,,,,,,,,,社会服务业,
,环保客运100%股权,,,1,,15765.59,,,,,,,,,,,,社会服务业,
,华燕仪表,,,1,,201221,,,,,,,,,,,,电子,
,安徽华菱汽车100%股权,,,1,,91992.61,,,,,19931.29,22202.54,23787.07,,,,,机械、设备、仪表,
,新疆天河化工84.265%等7项资产,,,1,,39246.86,,2467.91,,23664.88,24156,27321,32466,,,,,石油、化学、塑胶、塑料,
,新燕莎控股100%股权,,,1,,58420.04,,17828.78,,19919.13,28492.97,23337.78,24260.26,,,,,批发和零售贸易,
,象屿股份100%的股权,,,1,,104362.62,,,,,,,,,,,,社会服务业,
,地电股份总股本的 100%,,,1,,129543.27,,6715.1,,,,,,,,,,电力、煤气及水的生产和供应业,
,高速运管100%股权,,,1,,438761.96,,38185.95,,60031.98,69931.91,65511.32,52523.69,,,,,交通运输、仓储业,
,国海证券100%股权,,,1,,175020.9,,,,,,,,,,,,金融、保险业,
,平安银行100%股权,,,1,,1532909.35,,14482,,175300,230000,285800,359700,,,,,金融、保险业,
,万丰摩轮75%股权,,,1,,53781.47,,9673.49,,12634.76,13066.49,11037.39,11494.46,,,,,机械、设备、仪表,
,巨石集团49%股权,,,1,,333357,,-23091.93,,47839.52,37278,51483,51483,,,,,金属、非金属,
,华东电子100%股权,,,1,,3820.96,,829.43,,1566.08,1636.44,1995.33,2293.52,,,,,信息技术业,
,浙报发展、钱报公司等16项股权,,,1,,68099.19,,18136.3,,23093.12,19598.38,21516.27,23826.88,,,,,传播与文化产业,
,中进汽贸 100%股权,,,1,,164260.6,,,,22758.45,,,,,,,,批发和零售贸易,
,"百联集团持有的上海第一八佰伴36%股
权和上海百联集团投资100%的股权",,,1,,90887.75,,,,,,,,,,,,批发和零售贸易,
,昆钢煤焦化100% 股权,,,1,,217601.7,,17786.23453,,19069.897178,19500,2 亿元,,,,,,石油、化学、塑胶、塑料,
,"截至2011 年8 月31 日上海托博莱特房产
司所持有的128-2、128-3 地块项目价值",,,1,,48377.168995,,,,,,,,,,,,建筑业,
,铁岭财京投资的净资产,,,1,,136253.16,,46315.780125,,107802.683318,,67792.8,73935.47,,,,,房地产业,
,六和集团、六和股份、新希望农牧、枫澜科技、新希望乳业、成都新希望实业、四川新希望实业,,,1,,452458.79,,115624.671124,,107461.54,99986.34,111611.28,123206.81,,,,,农副食品加工业,
,银都矿业62.96%的股权,,,1,,19735.43,,27979.13,,27979.13,21968.21,21963.89,33257.37,,,,,采掘业,
,颖泰嘉和77.2563%的股权,,,1,,84686.21,,8069.91,,8069.91,9600,11280.26,14629.99,,,,,石油、化学、塑胶、塑料,
,建材集团的全部股东权益,,,1,,99416.74,,3419.473921,,,13368.18,11309.81,8746.64,,,,,金属、非金属,
,京御地产100%股权,,,1,,131941.817256,,24571,,24571,31635,44129,,,,,,房地产业,
,亿晶光电 100%股权,,,1,,94755.26,,18605.81,,18605.81,30442.01,34890.26,36658.39,,,,,机械、设备、仪表,
